note,DPI,price
unknown,162,unknown
unknown,161,unknown
unknown,766,unknown
unknown,2800,unknown
,2557,N/A
unknown,3531,unknown
unknown,3052,unknown
unknown,3525,unknown
unknown,4897,unknown
unknown,3391,unknown
unknown,4977,unknown
,1696,N/A
,1774,N/A
unknown,705,unknown
,1446,88.99
,2055,79.99
unknown,1571,unknown
,2436,44.25
unknown,1117,unknown
unknown,618,unknown
unknown,888,unknown
,1081,34.66
,2434,166.53
,2402,68.76
unknown,2506,unknown
unknown,1752,unknown
,1134,43.95
unknown,2413,unknown
unknown,2203,unknown
unknown,1594,unknown
unknown,2018,unknown
,1178,51.88
unknown,2308,unknown
unknown,2458,unknown
unknown,979,unknown
unknown,942,unknown
